t	x	y
0,000	-0,250	6,442E−2
0,033	-0,248	6,401E−2
0,067	-0,240	6,133E−2
0,100	-0,228	5,815E−2
0,133	-0,221	5,625E−2
0,167	-0,204	5,268E−2
0,200	-0,183	4,894E−2
0,233	-0,172	4,688E−2
0,267	-0,147	4,330E−2
0,300	-0,121	3,987E−2
0,333	-0,106	3,852E−2
0,367	−7,696E−2	3,518E−2
0,400	−4,741E−2	3,380E−2
0,433	−3,242E−2	3,377E−2
0,467	−3,121E−3	3,370E−2
0,500	2,528E−2	3,372E−2
0,533	3,908E−2	3,394E−2
0,567	6,526E−2	3,503E−2
0,600	8,985E−2	3,737E−2
0,633	0,101	3,860E−2
0,667	0,122	4,098E−2
0,700	0,140	4,316E−2
0,733	0,148	4,443E−2
0,767	0,161	4,583E−2
0,800	0,171	4,772E−2
0,833	0,174	4,814E−2
0,867	0,178	4,894E−2
0,900	0,178	4,908E−2
0,933	0,177	4,909E−2
0,967	0,171	4,800E−2
1,000	0,162	4,681E−2
1,033	0,156	4,574E−2
1,067	0,142	4,425E−2
1,100	0,124	4,203E−2
1,133	0,114	4,074E−2
1,167	9,166E−2	3,867E−2
1,200	6,739E−2	3,639E−2
1,233	5,458E−2	3,529E−2
1,267	2,826E−2	3,486E−2
1,300	6,246E−4	3,393E−2
1,333	−1,320E−2	3,381E−2
1,367	−4,141E−2	3,405E−2
1,400	−6,905E−2	3,531E−2
1,433	−8,237E−2	3,629E−2
1,467	-0,108	3,830E−2
1,500	-0,132	3,997E−2
1,533	-0,143	4,129E−2
1,567	-0,164	4,347E−2
1,600	-0,182	4,598E−2
1,633	-0,189	4,683E−2
1,667	-0,203	4,923E−2
1,700	-0,212	5,144E−2
1,733	-0,216	5,222E−2
1,767	-0,220	5,273E−2
1,800	-0,221	5,278E−2
1,833	-0,220	5,263E−2
1,867	-0,216	5,183E−2
1,900	-0,208	5,000E−2
1,933	-0,203	4,922E−2
1,967	-0,189	4,670E−2
2,000	-0,173	4,436E−2
2,033	-0,164	4,319E−2
2,067	-0,144	4,010E−2
2,100	-0,121	3,752E−2
2,133	-0,110	3,634E−2
2,167	−8,518E−2	3,508E−2
2,200	−6,020E−2	3,367E−2
2,233	−4,729E−2	3,361E−2
2,267	−2,179E−2	3,291E−2
2,300	4,323E−3	3,364E−2
2,333	1,696E−2	3,387E−2
2,367	4,177E−2	3,502E−2
2,400	6,517E−2	3,632E−2
2,433	7,659E−2	3,753E−2
2,467	9,764E−2	3,980E−2
2,500	0,116	4,191E−2
2,533	0,124	4,303E−2
2,567	0,138	4,467E−2
2,600	0,149	4,655E−2
2,633	0,153	4,709E−2
2,667	0,159	4,816E−2
2,700	0,162	4,876E−2
2,733	0,161	4,880E−2
2,767	0,159	4,880E−2
2,800	0,152	4,712E−2
2,833	0,148	4,648E−2
2,867	0,137	4,529E−2
2,900	0,122	4,342E−2
2,933	0,114	4,189E−2
2,967	9,499E−2	4,005E−2
3,000	7,435E−2	3,827E−2
3,033	6,330E−2	3,708E−2
3,067	3,933E−2	3,533E−2
3,100	1,487E−2	3,401E−2
3,133	2,267E−3	3,413E−2
3,167	−2,251E−2	3,367E−2
3,200	−4,796E−2	3,408E−2
3,233	−6,038E−2	3,403E−2
3,267	−8,417E−2	3,594E−2
3,300	-0,108	3,649E−2
3,333	-0,118	3,761E−2
3,367	-0,138	3,967E−2
3,400	-0,155	4,210E−2
3,433	-0,162	4,341E−2
3,467	-0,175	4,568E−2
3,500	-0,186	4,710E−2
3,533	-0,189	4,758E−2
3,567	-0,195	4,919E−2
3,600	-0,197	4,912E−2
3,633	-0,197	4,919E−2
3,667	-0,195	4,944E−2
3,700	-0,189	4,813E−2
3,733	-0,186	4,798E−2
3,767	-0,175	4,602E−2
3,800	-0,162	4,425E−2
3,833	-0,155	4,372E−2
3,867	-0,138	4,127E−2
3,900	-0,119	3,987E−2
3,933	-0,109	3,881E−2
3,967	−8,717E−2	3,754E−2
4,000	−6,439E−2	3,616E−2
4,033	−5,238E−2	3,576E−2
4,067	−2,886E−2	3,515E−2
4,100	−4,936E−3	3,479E−2
4,133	6,645E−3	3,500E−2
4,167	2,963E−2	3,595E−2
4,200	5,109E−2	3,636E−2
4,233	6,159E−2	3,719E−2
4,267	8,064E−2	3,839E−2
4,300	9,775E−2	3,977E−2
4,333	0,105	3,987E−2
4,367	0,119	4,196E−2
4,400	0,129	4,216E−2
4,433	0,133	4,310E−2
4,467	0,139	4,344E−2
4,500	0,142	4,334E−2
4,533	0,142	4,326E−2
4,567	0,141	4,354E−2
4,600	0,137	4,301E−2
4,633	0,134	4,309E−2
4,667	0,125	4,127E−2
4,700	0,114	3,994E−2
4,733	0,107	3,982E−2
4,767	9,113E−2	3,764E−2
4,800	7,339E−2	3,641E−2
4,833	6,405E−2	3,611E−2
4,867	4,353E−2	3,515E−2
4,900	2,186E−2	3,401E−2
4,933	1,044E−2	3,417E−2
4,967	−1,207E−2	3,369E−2
5,000	−3,524E−2	3,382E−2
5,033	−4,646E−2	3,462E−2
5,067	−6,906E−2	3,579E−2
5,100	−9,084E−2	3,656E−2
5,133	-0,101	3,813E−2
5,167	-0,120	3,951E−2
5,200	-0,138	4,136E−2
5,233	-0,146	4,198E−2
5,267	-0,160	4,439E−2
5,300	-0,172	4,583E−2
5,333	-0,176	4,584E−2
5,367	-0,183	4,702E−2
5,400	-0,188	4,800E−2
5,433	-0,189	4,818E−2
5,467	-0,189	4,780E−2
5,500	-0,185	4,731E−2
5,533	-0,182	4,710E−2
5,567	-0,174	4,526E−2
5,600	-0,164	4,349E−2
5,633	-0,157	4,310E−2
5,667	-0,142	4,076E−2
5,700	-0,126	3,864E−2
5,733	-0,117	3,768E−2
5,767	−9,755E−2	3,632E−2
5,800	−7,683E−2	3,406E−2
5,833	−6,579E−2	3,400E−2
5,867	−4,416E−2	3,285E−2
5,900	−2,226E−2	3,281E−2
5,933	−1,150E−2	3,273E−2
5,967	9,933E−3	3,280E−2
6,000	3,071E−2	3,388E−2
6,033	4,055E−2	3,395E−2
6,067	5,942E−2	3,500E−2
6,100	7,660E−2	3,636E−2
