t	x	y
0,000	0,342	8,055E−2
0,020	0,362	8,749E−2
0,040	0,381	9,462E−2
0,060	0,397	0,101
0,080	0,411	0,107
0,100	0,424	0,111
0,120	0,434	0,116
0,140	0,442	0,120
0,160	0,448	0,123
0,180	0,453	0,125
0,200	0,455	0,126
0,220	0,455	0,126
0,240	0,453	0,126
0,260	0,449	0,124
0,280	0,444	0,121
0,300	0,436	0,118
0,320	0,425	0,114
0,340	0,413	0,108
0,360	0,399	0,103
0,380	0,383	9,707E−2
0,400	0,365	9,030E−2
0,420	0,346	8,280E−2
0,440	0,324	7,586E−2
0,460	0,300	6,880E−2
0,480	0,275	6,187E−2
0,500	0,248	5,462E−2
0,520	0,220	4,795E−2
0,540	0,191	4,195E−2
0,560	0,160	3,709E−2
0,580	0,128	3,230E−2
0,600	9,572E−2	2,864E−2
0,620	6,264E−2	2,628E−2
0,640	2,872E−2	2,428E−2
0,660	−5,276E−3	2,315E−2
0,680	−3,840E−2	2,401E−2
0,700	−7,224E−2	2,522E−2
0,720	-0,105	2,759E−2
0,740	-0,138	3,017E−2
0,760	-0,170	3,465E−2
0,780	-0,200	3,933E−2
0,800	-0,230	4,428E−2
0,820	-0,258	5,107E−2
0,840	-0,285	5,706E−2
0,860	-0,310	6,406E−2
0,880	-0,333	7,107E−2
0,900	-0,355	7,814E−2
0,920	-0,375	8,522E−2
0,940	-0,394	9,220E−2
0,960	-0,411	9,821E−2
0,980	-0,426	0,104
1,000	-0,439	0,110
1,020	-0,450	0,115
1,040	-0,460	0,119
1,060	-0,467	0,123
1,080	-0,473	0,125
1,100	-0,476	0,127
1,120	-0,479	0,128
1,140	-0,479	0,128
1,160	-0,477	0,127
1,180	-0,474	0,125
1,200	-0,468	0,123
1,220	-0,461	0,119
1,240	-0,452	0,115
1,260	-0,440	0,110
1,280	-0,427	0,104
1,300	-0,413	9,834E−2
1,320	-0,396	9,228E−2
1,340	-0,378	8,534E−2
1,360	-0,357	7,824E−2
1,380	-0,335	7,119E−2
1,400	-0,312	6,419E−2
1,420	-0,286	5,733E−2
1,440	-0,260	5,113E−2
1,460	-0,232	4,525E−2
1,480	-0,203	3,961E−2
1,500	-0,172	3,495E−2
1,520	-0,142	3,117E−2
1,540	-0,110	2,781E−2
1,560	−7,788E−2	2,536E−2
1,580	−4,526E−2	2,415E−2
1,600	−1,246E−2	2,392E−2
1,620	2,020E−2	2,422E−2
1,640	5,234E−2	2,537E−2
1,660	8,410E−2	2,772E−2
1,680	0,116	3,115E−2
1,700	0,146	3,500E−2
1,720	0,175	3,954E−2
1,740	0,204	4,441E−2
1,760	0,231	4,996E−2
1,780	0,256	5,588E−2
1,800	0,280	6,261E−2
1,820	0,302	6,878E−2
1,840	0,323	7,478E−2
1,860	0,341	8,084E−2
1,880	0,358	8,670E−2
1,900	0,374	9,230E−2
1,920	0,387	9,714E−2
1,940	0,399	0,102
1,960	0,408	0,105
1,980	0,416	0,109
2,000	0,422	0,111
2,020	0,426	0,113
2,040	0,428	0,113
2,060	0,428	0,113
2,080	0,425	0,112
2,100	0,421	0,111
2,120	0,415	0,108
2,140	0,407	0,105
2,160	0,397	0,101
2,180	0,386	9,615E−2
2,200	0,372	9,115E−2
2,220	0,357	8,531E−2
2,240	0,340	7,959E−2
2,260	0,321	7,350E−2
2,280	0,300	6,730E−2
2,300	0,278	6,077E−2
2,320	0,254	5,474E−2
2,340	0,229	4,891E−2
2,360	0,203	4,319E−2
2,380	0,175	3,822E−2
2,400	0,146	3,372E−2
2,420	0,117	2,998E−2
2,440	8,615E−2	2,660E−2
2,460	5,548E−2	2,437E−2
2,480	2,493E−2	2,311E−2
2,500	−5,504E−3	2,283E−2
2,520	−3,602E−2	2,305E−2
2,540	−6,647E−2	2,421E−2
2,560	−9,678E−2	2,640E−2
2,580	-0,126	2,896E−2
2,600	-0,155	3,246E−2
2,620	-0,183	3,696E−2
2,640	-0,210	4,170E−2
2,660	-0,237	4,655E−2
2,680	-0,261	5,236E−2
2,700	-0,285	5,824E−2
2,720	-0,307	6,412E−2
2,740	-0,328	7,006E−2
2,760	-0,347	7,598E−2
